State,Value
        X,0.0
       OX,1.0
       X ,0.0
       XO,0.0
      O X,1.0
      OX ,0.0
      OXX,-1.0
      X  ,0.0
      X O,1.0
      XO ,1.0
      XOX,0.0
      XXO,-1.0
     O  X,1.0
     O X ,1.0
     O XX,1.0
     OOXX,1.0
     OX  ,1.0
     OX X,1.0
     OXOX,1.0
     OXX ,0.0
     OXXO,0.0
     X   ,0.0
     X  O,0.0
     X O ,1.0
     X OX,0.0
     X XO,0.0
     XO  ,1.0
     XO X,1.0
     XOOX,1.0
     XOX ,-1.0
     XOXO,1.0
     XX O,0.0
     XXO ,0.0
     XXOO,1.0
    O   X,0.0
    O  X ,0.0
    O  XX,0.0
    O OXX,0.0
    O X  ,0.0
    O X X,0.0
    O XOX,0.0
    O XX ,0.0
    O XXO,0.0
    OO XX,1.0
    OOX X,1.0
    OOXX ,1.0
    OOXXX,1.0
    OX   ,0.0
    OX  X,0.0
    OX OX,1.0
    OX X ,0.0
    OX XO,0.0
    OXO X,1.0
    OXOX ,0.0
    OXOXX,-1.0
    OXX  ,0.0
    OXX O,0.0
    OXXO ,0.0
    OXXOX,-1.0
    OXXXO,-1.0
    X    ,0.0
    X   O,0.0
    X  O ,1.0
    X  OX,1.0
    X  XO,0.0
    X O  ,0.0
    X O X,0.0
    X OOX,1.0
    X OX ,0.0
    X OXO,1.0
    X X O,0.0
    X XO ,0.0
    X XOO,1.0
    XO   ,1.0
    XO  X,0.0
    XO OX,1.0
    XO X ,1.0
    XO XO,1.0
    XOO X,1.0
    XOOX ,1.0
    XOOXX,1.0
    XOX  ,1.0
    XOX O,1.0
    XOXO ,1.0
    XOXOX,1.0
    XOXXO,-1.0
    XX  O,0.0
    XX O ,1.0
    XX OO,1.0
    XXO  ,0.0
    XXO O,1.0
    XXOO ,1.0
    XXOXO,1.0
    XXXOO,1.0
   O    X,1.0
   O   X ,1.0
   O   XX,-1.0
   O  OXX,-1.0
   O  X  ,1.0
   O  X X,1.0
   O  XOX,1.0
   O  XX ,1.0
   O  XXO,1.0
   O O XX,1.0
   O OX X,1.0
